run;scenario;group;cand_id;kind;start;end;nodes;arcs;path_len;delta_len_vs_nom;unit_repl_cost_per_freq
1;0;1;nominal;nominal;;;;34,35,38,39,56,57,30,31;14.8;0.0;0.0
1;0;1;;;;;;39,13,10,16,28,34,56;12.2;15.799999999999999;15799.999999999998
1;0;2;nominal;nominal;;;;4,58,5,27,18,19,54,55,26,59,62,63;18.4;0.0;0.0
1;0;2;;;;;;4,18,26,54,58,62;9.2;9.2;9200.0
1;0;3;nominal;nominal;;;;6,7,10,11,16,17,20,21,22,23,24,25;19.599999999999998;0.0;0.0
1;0;3;;;;;;6,10,16,25,21,22;9.8;9.8;9800.0
1;0;4;nominal;nominal;;;;2,3,6,7,74,75,12,44,13,45,48,49;21.599999999999998;0.0;0.0
1;0;4;;;;;;2,6,12,44,48,74;10.799999999999999;10.799999999999999;10799.999999999998
1;0;5;nominal;nominal;;;;32,33,52,53,72,73;11.200000000000001;0.0;0.0
1;0;5;;;;;;32,52,72;5.6;5.6000000000000005;5600.000000000001
1;0;6;nominal;nominal;;;;64,65,70,71,42,43;10.799999999999999;0.0;0.0
1;0;6;;;;;;42,71,65;5.4;5.4;5400.0
1;0;7;nominal;nominal;;;;38,39,20,21,24,25,28,29,30,31;17.2;0.0;0.0
1;0;7;;;;;;39,13,10,16,25,21;11.0;17.0;17000.0
1;0;8;nominal;nominal;;;;2,3,38,39,8,9,44,45;16.0;0.0;0.0
1;0;8;;;;;;2,8,39,44;8.0;8.0;8000.0
1;0;9;nominal;nominal;;;;32,33,14,15,16,17,50,51,28,29;17.999999999999996;0.0;0.0
1;0;9;;;;;;15,16,28,32,50;9.0;9.0;9000.0
1;0;10;nominal;nominal;;;;34,35,44,45,48,49,26,27,30,31;17.599999999999998;0.0;0.0
1;0;10;;;;;;26,54,58,51,47,48;8.799999999999999;21.599999999999998;21599.999999999996
1;0;11;nominal;nominal;;;;66,67,20,21,22,23,60,61;23.04;0.0;0.0
1;0;11;;;;;;67,61,23,20;11.52;11.52;11520.0
1;0;12;nominal;nominal;;;;0,1,2,3,8,41,9,40;29.199999999999996;0.0;0.0
1;0;12;;;;;;41,9,3,0;14.600000000000001;14.600000000000001;14600.000000000002
1;0;13;nominal;nominal;;;;58,69,68,59,50,51,52,53,54,55,26,27;17.199999999999996;0.0;0.0
1;0;13;;;;;;26,54,58,51,52,69;8.6;8.6;8600.0
1;0;14;nominal;nominal;;;;36,37,46,47,50,51,58,59;15.06;0.0;0.0
1;0;14;;;;;;46,50,59,37;7.529999999999999;7.53;7530.0
1;1;1;nominal;nominal;;;;34,35,38,39,56,57,30,31;14.8;0.0;0.0
1;1;1;;;;;;39,31,34,56;7.4;7.3999999999999995;7399.999999999999
1;1;2;nominal;nominal;;;;4,58,5,27,18,19,54,55,26,59,62,63;18.4;0.0;0.0
1;1;2;;;;;;4,18,21,22,60;11.559999999999999;24.759999999999998;24759.999999999996
1;1;3;nominal;nominal;;;;6,7,10,11,16,17,20,21,22,23,24,25;19.599999999999998;0.0;0.0
1;1;3;;;;;;6,10,16,25,21,22;9.8;9.8;9800.0
1;1;4;nominal;nominal;;;;2,3,6,7,74,75,12,44,13,45,48,49;21.599999999999998;0.0;0.0
1;1;4;;;;;;2,6,12,44,48,74;10.799999999999999;10.799999999999999;10799.999999999998
1;1;5;nominal;nominal;;;;32,33,52,53,72,73;11.200000000000001;0.0;0.0
1;1;5;;;;;;32,52,72;5.6;5.6000000000000005;5600.000000000001
1;1;6;nominal;nominal;;;;64,65,70,71,42,43;10.799999999999999;0.0;0.0
1;1;6;;;;;;42,71,65;5.4;5.4;5400.0
1;1;7;nominal;nominal;;;;38,39,20,21,24,25,28,29,30,31;17.2;0.0;0.0
1;1;7;;;;;;39,31,29,25,21;8.600000000000001;8.6;8600.0
1;1;8;nominal;nominal;;;;2,3,38,39,8,9,44,45;16.0;0.0;0.0
1;1;8;;;;;;2,8,39,44;8.0;8.0;8000.0
1;1;9;nominal;nominal;;;;32,33,14,15,16,17,50,51,28,29;17.999999999999996;0.0;0.0
1;1;9;;;;;;15,16,28,32,50;9.0;9.0;9000.0
1;1;10;nominal;nominal;;;;34,35,44,45,48,49,26,27,30,31;17.599999999999998;0.0;0.0
1;1;10;;;;;;24,28,30,44,48;8.799999999999999;15.2;15200.0
1;1;11;nominal;nominal;;;;66,67,20,21,22,23,60,61;23.04;0.0;0.0
1;1;11;;;;;;67,61,23,20;11.52;11.52;11520.0
1;1;12;nominal;nominal;;;;0,1,2,3,8,41,9,40;29.199999999999996;0.0;0.0
1;1;12;;;;;;41,9,3,0;14.600000000000001;14.600000000000001;14600.000000000002
1;1;13;nominal;nominal;;;;58,69,68,59,50,51,52,53,54,55,26,27;17.199999999999996;0.0;0.0
1;1;13;;;;;;24,28,32,52,69;8.600000000000001;20.2;20200.0
1;1;14;nominal;nominal;;;;36,37,46,47,50,51,58,59;15.06;0.0;0.0
1;1;14;;;;;;46,50,59,37;7.529999999999999;7.53;7530.0
