line;group;nominal_freq;nominal_path
prob;;;
objective;;76526.03000000001;
cost_time;;52765.45000000002;
cost_bypass;;0.0;
cost_wait;;10651.38;
cost_oper;;13109.2;
cost_repl;;;
0;1;5;12,11,10,16,18
1;1;5;18,16,10,11,12
2;2;7;2,6,8,16,17,19,20
3;2;7;20,19,17,16,8,6,2
4;3;2;3,4,5,9,8,7,18
5;3;2;18,7,8,9,5,4,3
6;4;6;1,3,4,11,14,23,24
7;4;6;24,23,14,11,4,3,1
8;5;5;10,15,22,23
9;5;5;23,22,15,10
10;6;4;13,24,21,20
11;6;4;20,21,24,13
12;7;2;12,11,10,9,8,7
13;7;2;7,8,9,10,11,12
14;8;0;1,3,12,11,14
15;8;0;14,11,12,3,1
16;9;3;6,5,9,10,15,19
17;9;3;19,15,10,9,5,6
18;10;1;8,16,10,11,14,23
19;10;1;23,14,11,10,16,8
20;11;0;22,20,18,7,8
21;11;0;8,7,18,20,22
22;12;1;13,12,3,1,2
23;12;1;2,1,3,12,13
24;13;2;8,16,17,19,15,22,21
25;13;2;21,22,15,19,17,16,8
26;14;1;14,15,19,17,10
27;14;1;10,17,19,15,14
